repetition_id;tick;patch_id;susceptible;infected;recovered;cc;total_animals
1;182;437;0;0;24;9;24
1;182;439;0;0;70;28;70
1;183;382;0;0;22;11;22
1;183;439;0;0;70;28;70
1;184;436;0;0;21;2;21
1;184;439;0;0;70;28;70
1;185;439;0;0;70;28;70
1;185;509;0;0;18;8;18
1;186;508;0;0;13;3;13
1;186;439;0;0;70;28;70
1;187;589;0;0;10;10;10
1;187;439;0;0;70;28;70
1;188;439;0;0;70;28;70
1;188;670;0;0;5;12;5
1;189;669;0;0;1;23;1
1;189;439;0;0;70;28;70
1;190;439;0;0;70;28;70
1;191;439;0;0;70;28;70
1;192;439;0;0;70;28;70
1;193;439;0;0;70;28;70
1;194;439;0;0;34;28;34
1;194;385;0;0;36;12;36
1;195;439;0;0;34;28;34
1;195;385;0;0;36;12;36
1;196;439;0;0;34;28;34
1;196;385;0;0;36;12;36
1;197;385;0;0;2;12;2
1;197;439;0;0;68;28;68
1;198;439;0;0;68;28;68
1;198;385;0;0;2;12;2
1;199;385;0;0;2;12;2
1;199;439;0;0;68;28;68
1;200;439;0;0;68;28;68
1;200;385;0;0;2;12;2
1;201;385;0;0;2;12;2
1;201;439;0;0;68;28;68
1;202;385;0;0;2;12;2
1;202;439;0;0;68;28;68
1;203;385;0;0;2;12;2
1;203;439;0;0;68;28;68
1;204;385;0;0;2;12;2
1;204;439;0;0;68;28;68
1;205;439;0;0;68;28;68
1;205;385;0;0;2;12;2
1;206;439;0;0;68;28;68
1;206;385;0;0;2;12;2
1;207;439;0;0;68;28;68
1;207;385;0;0;2;12;2
1;208;385;0;0;2;12;2
1;208;439;0;0;68;28;68
1;209;439;0;0;68;28;68
1;209;385;0;0;2;12;2
1;210;439;0;0;68;28;68
1;210;385;0;0;2;12;2
1;211;385;0;0;2;12;2
1;211;439;0;0;68;28;68
1;212;385;0;0;2;12;2
1;212;439;0;0;68;28;68
1;213;385;0;0;2;12;2
1;213;439;0;0;68;28;68
1;214;439;0;0;68;28;68
1;214;385;0;0;2;12;2
1;215;385;0;0;2;12;2
1;215;439;0;0;68;28;68
1;216;385;0;0;2;12;2
1;216;439;0;0;68;28;68
1;217;385;0;0;2;12;2
1;217;439;0;0;68;28;68
1;218;439;0;0;68;28;68
1;218;385;0;0;2;12;2
1;219;439;0;0;68;28;68
1;219;385;0;0;2;12;2
1;220;439;0;0;68;28;68
1;220;385;0;0;2;12;2
1;221;385;0;0;2;12;2
1;221;439;0;0;68;28;68
1;222;385;0;0;2;12;2
1;222;439;0;0;68;28;68
1;223;385;0;0;2;12;2
1;223;439;0;0;68;28;68
1;224;385;0;0;2;12;2
1;224;439;0;0;68;28;68
1;225;385;0;0;2;12;2
1;225;439;0;0;68;28;68
1;226;385;0;0;2;12;2
1;226;439;0;0;68;28;68
1;227;385;0;0;2;12;2
1;227;439;0;0;68;28;68
1;228;385;0;0;2;12;2
1;228;439;0;0;68;28;68
1;229;439;0;0;68;28;68
1;229;385;0;0;2;12;2
1;230;439;0;0;68;28;68
1;230;385;0;0;2;12;2
1;231;385;0;0;2;12;2
1;231;439;0;0;68;28;68
1;232;439;0;0;67;28;67
1;232;385;0;0;2;12;2
1;233;439;0;0;67;28;67
1;233;385;0;0;2;12;2
1;234;385;0;0;2;12;2
1;234;439;0;0;67;28;67
1;235;439;0;0;67;28;67
1;235;385;0;0;2;12;2
1;236;385;0;0;2;12;2
1;236;439;0;0;67;28;67
1;237;385;0;0;2;12;2
1;237;439;0;0;67;28;67
1;238;439;0;0;67;28;67
1;238;385;0;0;2;12;2
1;239;439;0;0;67;28;67
1;239;385;0;0;2;12;2
1;240;439;0;0;67;28;67
1;240;385;0;0;2;12;2
1;241;385;0;0;2;12;2
1;241;439;0;0;67;28;67
1;242;439;0;0;67;28;67
1;242;385;0;0;2;12;2
1;243;439;0;0;67;28;67
1;243;385;0;0;2;12;2
1;244;385;0;0;2;12;2
1;244;439;0;0;67;28;67
1;245;385;0;0;2;12;2
1;245;439;0;0;67;28;67
1;246;385;0;0;2;12;2
1;246;439;0;0;67;28;67
1;247;385;0;0;2;12;2
1;247;439;0;0;67;28;67
1;248;385;0;0;2;12;2
1;248;439;0;0;67;28;67
1;249;439;0;0;67;28;67
1;249;385;0;0;2;12;2
1;250;439;0;0;67;28;67
1;250;385;0;0;2;12;2
1;251;385;0;0;2;12;2
1;251;439;0;0;67;28;67
1;252;385;0;0;2;12;2
1;252;439;0;0;67;28;67
1;253;385;0;0;2;12;2
1;253;439;0;0;67;28;67
1;254;439;0;0;67;28;67
1;254;385;0;0;2;12;2
1;255;385;0;0;2;12;2
1;255;439;0;0;67;28;67
1;256;439;0;0;67;28;67
1;256;385;0;0;2;12;2
1;257;385;0;0;2;12;2
1;257;439;0;0;67;28;67
1;258;385;0;0;2;12;2
1;258;439;0;0;67;28;67
1;259;439;0;0;67;28;67
1;259;385;0;0;2;12;2
1;260;385;0;0;2;12;2
1;260;439;0;0;67;28;67
1;261;385;0;0;2;12;2
1;261;439;0;0;67;28;67
1;262;439;0;0;67;28;67
1;262;385;0;0;2;12;2
1;263;439;0;0;67;28;67
1;263;385;0;0;2;12;2
1;264;385;0;0;2;12;2
1;264;439;0;0;67;28;67
1;265;385;0;0;2;12;2
1;265;439;0;0;67;28;67
1;266;385;0;0;2;12;2
1;266;439;0;0;66;28;66
