repetition_id;tick;patch_id;susceptible;infected;recovered;cc;total_animals
1;2;439;122;0;0;28;122
1;719;384;39;0;0;31;39
1;719;385;5;0;0;12;5
1;719;511;4;0;0;22;4
1;719;439;7;0;0;28;7
1;720;439;7;0;0;28;7
1;720;384;39;0;0;31;39
1;720;385;4;1;0;12;5
1;720;511;4;0;0;22;4
1;721;511;0;4;0;22;4
1;721;384;0;35;4;31;39
1;721;385;0;4;1;12;5
1;721;439;0;7;0;28;7
1;722;511;0;4;0;22;4
1;722;439;0;7;0;28;7
1;722;384;0;28;11;31;39
1;722;385;0;2;3;12;5
1;723;384;0;21;18;31;39
1;723;511;0;3;1;22;4
1;723;385;0;2;3;12;5
1;723;439;0;6;1;28;7
1;724;385;0;2;3;12;5
1;724;511;0;3;1;22;4
1;724;384;0;17;22;31;39
1;724;439;0;6;1;28;7
1;725;511;0;3;1;22;4
1;725;439;0;5;2;28;7
1;725;385;0;2;3;12;5
1;725;384;0;14;24;31;38
1;726;384;0;11;27;31;38
1;726;385;0;2;3;12;5
1;726;439;0;5;2;28;7
1;726;511;0;2;2;22;4
1;727;384;0;10;27;31;37
1;727;511;0;2;2;22;4
1;727;439;0;4;3;28;7
1;727;385;0;2;3;12;5
1;728;385;0;1;4;12;5
1;728;511;0;1;3;22;4
1;728;384;0;7;30;31;37
1;728;439;0;4;3;28;7
1;729;439;0;3;4;28;7
1;729;385;0;1;3;12;4
1;729;511;0;0;3;22;3
1;729;384;0;6;31;31;37
1;730;385;0;1;3;12;4
1;730;439;0;2;5;28;7
1;730;511;0;0;3;22;3
1;730;384;0;3;34;31;37
1;731;385;0;1;3;12;4
1;731;439;0;1;6;28;7
1;731;384;0;3;34;31;37
1;731;511;0;0;3;22;3
1;732;385;0;1;3;12;4
1;732;439;0;1;6;28;7
1;732;511;0;0;3;22;3
1;732;384;0;2;34;31;36
1;733;439;0;1;6;28;7
1;733;384;0;1;35;31;36
1;733;385;0;1;3;12;4
1;733;511;0;0;3;22;3
1;734;384;0;1;35;31;36
1;734;511;0;0;3;22;3
1;734;385;0;0;4;12;4
1;734;439;0;0;7;28;7
1;735;439;0;0;7;28;7
1;735;385;0;0;4;12;4
1;735;384;0;1;35;31;36
1;735;511;0;0;3;22;3
1;736;385;0;0;4;12;4
1;736;439;0;0;7;28;7
1;736;384;0;0;36;31;36
1;736;511;0;0;3;22;3
1;737;439;0;0;7;28;7
1;737;511;0;0;3;22;3
1;737;385;0;0;4;12;4
1;737;384;0;0;36;31;36
1;738;384;0;0;36;31;36
1;738;439;0;0;7;28;7
1;738;511;0;0;3;22;3
1;738;385;0;0;4;12;4
1;739;384;0;0;36;31;36
1;739;385;0;0;4;12;4
1;739;511;0;0;3;22;3
1;739;439;0;0;7;28;7
1;740;439;0;0;7;28;7
1;740;385;0;0;4;12;4
1;740;384;0;0;36;31;36
1;740;511;0;0;3;22;3
1;741;385;0;0;4;12;4
1;741;511;0;0;3;22;3
1;741;384;0;0;36;31;36
1;741;439;0;0;7;28;7
1;742;439;0;0;7;28;7
1;742;385;0;0;4;12;4
1;742;384;0;0;36;31;36
1;742;511;0;0;3;22;3
1;743;439;0;0;7;28;7
1;743;385;0;0;4;12;4
1;743;384;0;0;36;31;36
1;743;511;0;0;3;22;3
1;744;511;0;0;3;22;3
1;744;385;0;0;4;12;4
1;744;439;0;0;7;28;7
1;744;384;0;0;36;31;36
1;745;385;0;0;4;12;4
1;745;511;0;0;3;22;3
1;745;439;0;0;7;28;7
1;745;384;0;0;35;31;35
1;746;384;0;0;35;31;35
1;746;511;0;0;3;22;3
1;746;439;0;0;7;28;7
1;746;385;0;0;4;12;4
1;747;384;0;0;35;31;35
1;747;385;0;0;4;12;4
1;747;511;0;0;3;22;3
1;747;439;0;0;7;28;7
1;748;439;0;0;7;28;7
1;748;384;0;0;34;31;34
1;748;385;0;0;4;12;4
1;748;511;0;0;3;22;3
1;749;385;0;0;4;12;4
1;749;439;0;0;7;28;7
1;749;511;0;0;3;22;3
1;749;384;0;0;34;31;34
1;750;439;0;0;7;28;7
1;750;511;0;0;3;22;3
1;750;385;0;0;4;12;4
1;750;384;0;0;34;31;34
1;751;511;0;0;3;22;3
1;751;384;0;0;34;31;34
1;751;439;0;0;7;28;7
1;751;385;0;0;4;12;4
1;752;385;0;0;4;12;4
1;752;511;0;0;3;22;3
1;752;439;0;0;7;28;7
1;752;384;0;0;34;31;34
1;753;385;0;0;4;12;4
1;753;439;0;0;7;28;7
1;753;384;0;0;34;31;34
1;753;511;0;0;3;22;3
1;754;439;0;0;7;28;7
1;754;385;0;0;4;12;4
1;754;384;0;0;34;31;34
1;754;511;0;0;3;22;3
1;755;385;0;0;4;12;4
1;755;439;0;0;7;28;7
1;755;511;0;0;3;22;3
1;755;384;0;0;34;31;34
1;756;439;0;0;7;28;7
1;756;385;0;0;4;12;4
1;756;511;0;0;3;22;3
1;756;384;0;0;34;31;34
1;757;385;0;0;4;12;4
1;757;511;0;0;3;22;3
1;757;384;0;0;34;31;34
1;757;439;0;0;7;28;7
1;758;511;0;0;3;22;3
1;758;385;0;0;4;12;4
1;758;384;0;0;34;31;34
1;758;439;0;0;7;28;7
1;759;384;0;0;34;31;34
1;759;439;0;0;7;28;7
1;759;385;0;0;4;12;4
1;759;511;0;0;3;22;3
1;760;384;0;0;34;31;34
1;760;385;0;0;4;12;4
1;760;439;0;0;7;28;7
1;760;511;0;0;3;22;3
1;761;384;0;0;34;31;34
1;761;511;0;0;3;22;3
1;761;385;0;0;4;12;4
1;761;439;0;0;7;28;7
1;762;384;0;0;34;31;34
1;762;439;0;0;7;28;7
1;762;511;0;0;3;22;3
1;762;385;0;0;4;12;4
1;763;511;0;0;3;22;3
1;763;385;0;0;4;12;4
1;763;384;0;0;34;31;34
1;763;439;0;0;7;28;7
1;764;385;0;0;4;12;4
1;764;384;0;0;33;31;33
1;764;511;0;0;3;22;3
1;764;439;0;0;7;28;7
1;765;439;0;0;7;28;7
1;765;511;0;0;3;22;3
1;765;384;0;0;32;31;32
1;765;385;0;0;4;12;4
1;766;384;0;0;32;31;32
1;766;385;0;0;4;12;4
1;766;511;0;0;3;22;3
1;766;439;0;0;7;28;7
1;767;385;0;0;4;12;4
1;767;384;0;0;32;31;32
1;767;439;0;0;7;28;7
