repetition_id;tick;patch_id;group_id;group_mode;sows;boars;female_juveniles;male_juveniles;female_piglets;male_piglets;travelled_distance
1;2;439;0;settled;39;37;6;6;15;13;0
1;3;439;0;settled;38;35;3;7;15;11;0
1;4;439;0;settled;37;34;2;6;15;11;0
1;5;439;0;settled;35;34;2;7;15;9;0
1;6;439;0;settled;34;32;2;7;15;9;0
1;7;439;0;settled;33;32;2;7;15;9;0
1;8;439;0;settled;31;29;2;7;15;9;0
1;9;439;0;settled;31;28;2;7;15;9;0
1;10;439;0;settled;30;27;2;7;15;9;0
1;11;439;0;settled;30;27;2;7;15;9;0
1;12;439;0;settled;30;26;2;7;15;9;0
1;13;439;0;settled;30;26;3;7;14;9;0
1;14;439;0;settled;30;25;3;8;14;8;0
1;15;439;0;settled;30;25;3;8;14;8;0
1;16;439;0;settled;30;25;3;7;14;8;0
1;17;439;0;settled;29;25;3;6;14;8;0
1;18;439;0;settled;29;25;3;5;14;8;0
1;19;439;0;settled;28;25;3;5;14;8;0
1;20;439;0;settled;28;25;3;5;14;8;0
1;21;439;0;settled;27;25;3;5;14;8;0
1;22;439;0;settled;26;25;3;5;14;8;0
1;23;439;0;settled;26;23;3;5;14;8;0
1;24;439;0;settled;26;21;3;5;14;8;0
1;25;439;0;settled;26;21;3;5;14;8;0
1;26;439;0;settled;26;21;3;5;14;8;0
1;27;439;0;settled;25;21;3;5;14;8;0
1;28;439;0;settled;25;21;3;5;14;8;0
1;29;439;0;settled;25;21;3;6;14;7;0
1;30;439;0;settled;25;21;3;6;13;7;0
1;31;439;0;settled;25;21;3;6;13;7;0
1;32;439;0;settled;24;21;3;6;13;7;0
1;33;439;0;settled;23;21;3;6;13;7;0
1;34;439;0;settled;23;21;3;6;13;7;0
1;35;439;0;settled;23;21;3;5;13;7;0
1;36;439;0;settled;22;20;3;4;13;7;0
1;37;439;0;settled;22;20;3;4;13;7;0
1;38;439;0;settled;22;20;3;4;13;7;0
1;39;439;0;settled;22;20;3;4;12;7;0
1;40;439;0;settled;22;20;3;4;12;7;0
1;41;439;0;settled;22;20;3;4;12;7;0
1;42;439;0;settled;22;20;3;4;12;7;0
1;43;439;0;settled;22;20;3;4;12;7;0
1;44;439;0;settled;22;19;3;4;12;7;0
1;45;439;0;settled;22;19;3;4;12;7;0
1;46;439;0;settled;22;19;3;4;12;7;0
1;47;439;0;settled;22;19;3;4;12;7;0
1;48;439;0;settled;22;18;3;4;12;7;0
1;49;439;0;settled;22;18;3;4;12;7;0
1;50;439;0;settled;21;18;3;4;12;7;0
1;51;439;0;settled;20;18;3;4;12;7;0
1;52;439;0;settled;20;18;3;4;12;7;0
1;53;439;0;settled;20;18;3;4;12;7;0
1;54;439;0;settled;20;18;3;4;12;7;0
1;55;439;0;settled;20;17;3;4;12;7;0
1;56;439;0;settled;20;17;3;5;12;6;0
1;57;439;0;settled;20;17;3;5;12;6;0
1;58;439;0;settled;20;17;3;5;12;6;0
1;59;439;0;settled;20;17;3;5;12;6;0
1;60;439;0;settled;20;17;3;5;12;6;0
1;61;439;0;settled;20;17;3;5;12;6;0
1;62;439;0;settled;19;17;3;5;12;6;0
1;63;439;0;settled;18;17;3;5;12;6;0
1;64;439;0;settled;18;17;3;5;12;6;0
1;65;439;0;settled;18;17;3;5;12;6;0
1;66;439;0;settled;18;17;3;5;12;6;0
1;67;439;0;settled;17;17;3;5;12;6;0
1;68;439;0;settled;17;17;3;4;12;6;0
1;69;439;0;settled;17;17;3;4;12;6;0
1;70;439;0;settled;17;17;3;4;11;6;0
1;71;439;0;settled;17;17;4;4;10;6;0
1;72;439;0;settled;17;17;4;4;10;6;0
1;73;439;0;settled;17;17;4;4;9;6;0
1;74;439;0;settled;16;17;5;4;8;6;0
1;75;439;0;settled;16;16;5;4;8;6;0
1;76;439;0;settled;16;16;5;4;8;6;0
1;77;439;0;settled;16;16;6;4;7;6;0
1;78;439;0;settled;16;16;6;4;7;6;0
1;79;439;0;settled;16;16;6;4;7;6;0
1;80;439;0;settled;16;16;6;4;7;6;0
1;81;439;0;settled;16;16;6;4;7;6;0
1;82;439;0;settled;16;16;6;4;7;6;0
1;83;439;0;settled;16;16;6;4;7;6;0
1;84;439;0;settled;16;16;7;4;6;6;0
1;85;439;0;settled;16;16;7;4;6;6;0
1;86;439;0;settled;16;16;7;4;6;6;0
1;87;439;0;settled;15;16;7;4;6;6;0
1;88;439;0;settled;15;16;7;4;6;6;0
1;89;439;0;settled;15;16;7;4;6;6;0
1;90;439;0;settled;15;16;7;4;6;6;0
1;91;439;0;settled;14;16;7;4;6;6;0
1;92;439;0;settled;14;16;7;4;8;9;0
1;93;439;0;settled;14;17;6;3;7;9;0
1;94;439;0;settled;14;17;6;3;7;9;0
1;95;439;0;settled;14;17;6;3;7;9;0
1;96;439;0;settled;14;17;6;3;7;9;0
1;97;439;0;settled;14;17;6;3;7;9;0
1;98;439;0;settled;14;17;6;3;7;9;0
1;99;439;0;settled;14;17;6;3;7;9;0
1;100;439;0;settled;14;17;6;3;7;9;0
1;101;439;0;settled;14;17;6;3;7;9;0
