repetition_id;tick;total;settled;female_moving;male_moving
1;2;1;1;0;0
1;193;2;2;0;0
1;196;3;3;0;0
1;197;4;3;1;0
1;198;4;4;0;0
1;199;4;4;0;0
1;557;5;5;0;0
1;559;6;5;0;1
1;560;6;6;0;0
1;921;6;6;0;0
1;1294;7;7;0;0
1;2001;7;6;0;1
1;2004;8;7;0;1
1;2005;9;8;0;1
1;2006;10;9;0;1
1;2007;11;10;0;1
1;2009;12;11;0;1
1;2010;13;12;0;1
1;2011;14;13;0;1
1;2014;15;14;0;1
1;2015;16;15;0;1
1;2016;17;16;0;1
1;2735;18;16;0;2
1;2738;19;17;0;2
1;2739;20;18;0;2
1;2740;21;19;0;2
1;2741;21;19;0;2
1;2742;22;20;0;2
1;3835;23;21;0;2
1;3849;23;21;0;2
1;5294;23;20;0;3
1;5302;23;21;0;2
